image_path,image_name,annotation_name,set,base_name,Label
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041009_test.jpg,00041009_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041009.txt,train,00041009_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041010_test.jpg,00041010_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041010.txt,train,00041010_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041011_test.jpg,00041011_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041011.txt,train,00041011_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041012_temp.jpg,00041012_temp.jpg,No Annotation,train,00041012_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041013_test.jpg,00041013_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041013.txt,train,00041013_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041015_temp.jpg,00041015_temp.jpg,No Annotation,train,00041015_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041015_test.jpg,00041015_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041015.txt,train,00041015_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041017_temp.jpg,00041017_temp.jpg,No Annotation,train,00041017_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041017_test.jpg,00041017_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041017.txt,train,00041017_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041018_temp.jpg,00041018_temp.jpg,No Annotation,train,00041018_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041018_test.jpg,00041018_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041018.txt,train,00041018_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041019_temp.jpg,00041019_temp.jpg,No Annotation,train,00041019_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041022_temp.jpg,00041022_temp.jpg,No Annotation,train,00041022_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041022_test.jpg,00041022_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041022.txt,train,00041022_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041024_temp.jpg,00041024_temp.jpg,No Annotation,train,00041024_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041024_test.jpg,00041024_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041024.txt,train,00041024_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041025_temp.jpg,00041025_temp.jpg,No Annotation,train,00041025_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041025_test.jpg,00041025_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041025.txt,train,00041025_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041026_temp.jpg,00041026_temp.jpg,No Annotation,train,00041026_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041026_test.jpg,00041026_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041026.txt,train,00041026_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041027_temp.jpg,00041027_temp.jpg,No Annotation,train,00041027_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041027_test.jpg,00041027_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041027.txt,train,00041027_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041028_temp.jpg,00041028_temp.jpg,No Annotation,train,00041028_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041029_temp.jpg,00041029_temp.jpg,No Annotation,train,00041029_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041029_test.jpg,00041029_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041029.txt,train,00041029_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041030_temp.jpg,00041030_temp.jpg,No Annotation,train,00041030_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041030_test.jpg,00041030_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041030.txt,train,00041030_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041031_temp.jpg,00041031_temp.jpg,No Annotation,train,00041031_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041031_test.jpg,00041031_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041031.txt,train,00041031_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041032_temp.jpg,00041032_temp.jpg,No Annotation,train,00041032_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041032_test.jpg,00041032_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041032.txt,train,00041032_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041033_temp.jpg,00041033_temp.jpg,No Annotation,train,00041033_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041033_test.jpg,00041033_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041033.txt,train,00041033_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041035_temp.jpg,00041035_temp.jpg,No Annotation,train,00041035_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041036_temp.jpg,00041036_temp.jpg,No Annotation,train,00041036_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041037_temp.jpg,00041037_temp.jpg,No Annotation,train,00041037_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041038_temp.jpg,00041038_temp.jpg,No Annotation,train,00041038_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041039_temp.jpg,00041039_temp.jpg,No Annotation,train,00041039_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041040_test.jpg,00041040_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041040.txt,train,00041040_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041041_temp.jpg,00041041_temp.jpg,No Annotation,train,00041041_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041042_temp.jpg,00041042_temp.jpg,No Annotation,train,00041042_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041043_temp.jpg,00041043_temp.jpg,No Annotation,train,00041043_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041043_test.jpg,00041043_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041043.txt,train,00041043_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041044_temp.jpg,00041044_temp.jpg,No Annotation,train,00041044_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041044_test.jpg,00041044_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041044.txt,train,00041044_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041045_temp.jpg,00041045_temp.jpg,No Annotation,train,00041045_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041045_test.jpg,00041045_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041045.txt,train,00041045_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041046_temp.jpg,00041046_temp.jpg,No Annotation,train,00041046_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041046_test.jpg,00041046_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041046.txt,train,00041046_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041047_temp.jpg,00041047_temp.jpg,No Annotation,train,00041047_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041047_test.jpg,00041047_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041047.txt,train,00041047_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041048_temp.jpg,00041048_temp.jpg,No Annotation,train,00041048_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041048_test.jpg,00041048_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041048.txt,train,00041048_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041049_temp.jpg,00041049_temp.jpg,No Annotation,train,00041049_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041049_test.jpg,00041049_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041049.txt,train,00041049_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041050_temp.jpg,00041050_temp.jpg,No Annotation,train,00041050_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041050_test.jpg,00041050_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041050.txt,train,00041050_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041051_test.jpg,00041051_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041051.txt,train,00041051_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041052_temp.jpg,00041052_temp.jpg,No Annotation,train,00041052_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041052_test.jpg,00041052_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041052.txt,train,00041052_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041053_temp.jpg,00041053_temp.jpg,No Annotation,train,00041053_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041054_temp.jpg,00041054_temp.jpg,No Annotation,train,00041054_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041054_test.jpg,00041054_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041054.txt,train,00041054_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041055_temp.jpg,00041055_temp.jpg,No Annotation,train,00041055_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041055_test.jpg,00041055_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041055.txt,train,00041055_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041056_temp.jpg,00041056_temp.jpg,No Annotation,train,00041056_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041056_test.jpg,00041056_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041056.txt,train,00041056_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041057_temp.jpg,00041057_temp.jpg,No Annotation,train,00041057_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041058_temp.jpg,00041058_temp.jpg,No Annotation,train,00041058_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041059_temp.jpg,00041059_temp.jpg,No Annotation,train,00041059_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041059_test.jpg,00041059_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041059.txt,train,00041059_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041060_temp.jpg,00041060_temp.jpg,No Annotation,train,00041060_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041060_test.jpg,00041060_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041060.txt,train,00041060_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041061_temp.jpg,00041061_temp.jpg,No Annotation,train,00041061_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041062_temp.jpg,00041062_temp.jpg,No Annotation,train,00041062_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041062_test.jpg,00041062_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041062.txt,train,00041062_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041063_temp.jpg,00041063_temp.jpg,No Annotation,train,00041063_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041063_test.jpg,00041063_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041063.txt,train,00041063_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041064_test.jpg,00041064_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041064.txt,train,00041064_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041065_temp.jpg,00041065_temp.jpg,No Annotation,train,00041065_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041065_test.jpg,00041065_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041065.txt,train,00041065_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041066_temp.jpg,00041066_temp.jpg,No Annotation,train,00041066_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041066_test.jpg,00041066_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041066.txt,train,00041066_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041067_temp.jpg,00041067_temp.jpg,No Annotation,train,00041067_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041067_test.jpg,00041067_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041067.txt,train,00041067_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041068_temp.jpg,00041068_temp.jpg,No Annotation,train,00041068_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041068_test.jpg,00041068_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041068.txt,train,00041068_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041069_temp.jpg,00041069_temp.jpg,No Annotation,train,00041069_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041069_test.jpg,00041069_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041069.txt,train,00041069_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041070_temp.jpg,00041070_temp.jpg,No Annotation,train,00041070_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041071_temp.jpg,00041071_temp.jpg,No Annotation,train,00041071_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041072_temp.jpg,00041072_temp.jpg,No Annotation,train,00041072_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041072_test.jpg,00041072_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041072.txt,train,00041072_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041073_temp.jpg,00041073_temp.jpg,No Annotation,train,00041073_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041073_test.jpg,00041073_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041073.txt,train,00041073_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041075_temp.jpg,00041075_temp.jpg,No Annotation,train,00041075_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041075_test.jpg,00041075_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041075.txt,train,00041075_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041076_temp.jpg,00041076_temp.jpg,No Annotation,train,00041076_temp,0
